date,city,PM2_5,PM10,O3,NO2,SO2,temperature,AQI
2023-01-06,广州,68.1,104.4,100.0,21.2,7.2,-4.9,122.0
2023-01-06,深圳,68.1,117.9,44.4,58.7,10.7,-4.9,99.0
2023-01-06,杭州,102.9,158.8,32.9,38.8,11.2,-4.9,137.0
2023-01-06,成都,74.9,116.7,68.2,34.3,8.5,-4.9,117.0
2023-01-06,武汉,75.5,126.7,94.1,51.4,15.2,-4.9,128.0
2023-01-06,西安,47.8,83.1,93.5,26.8,10.1,-4.9,95.0
2023-01-06,南京,55.0,92.2,78.3,31.7,14.1,-4.9,97.0
2023-01-06,重庆,57.4,96.4,65.9,26.1,13.3,-4.9,95.0
2023-01-07,北京,47.0,77.1,105.0,16.8,14.4,-4.9,98.0
2023-01-07,上海,75.3,122.1,68.4,54.6,12.3,-4.9,118.0
2023-01-07,广州,44.8,79.0,70.9,52.8,6.9,-4.9,82.0
2023-01-07,深圳,49.2,78.5,36.0,48.8,19.2,-4.9,73.0
2023-01-07,杭州,64.1,105.7,54.0,42.4,7.9,-4.9,99.0
2023-01-07,成都,85.5,137.3,86.9,23.9,9.7,-4.9,137.0
2023-01-07,武汉,37.0,63.1,36.9,14.0,19.3,-4.9,59.0
2023-01-07,西安,41.8,76.5,84.1,58.2,19.2,-4.9,84.0
2023-01-07,南京,-10.5,-6.4,69.9,32.7,13.5,-4.9,15.0
2023-01-07,重庆,35.9,64.8,76.7,57.4,12.9,-4.9,74.0
2023-01-08,北京,45.6,74.3,64.8,32.0,21.5,-4.8,81.0
2023-01-08,上海,32.6,56.1,67.8,36.3,12.5,-4.8,66.0
2023-01-08,广州,45.6,77.9,73.3,39.3,15.3,-4.8,84.0
2023-01-08,深圳,48.4,91.8,25.9,10.6,14.1,-4.8,68.0
2023-01-08,杭州,76.4,124.6,81.1,35.4,14.2,-4.8,124.0
2023-01-08,成都,60.4,93.4,40.4,48.4,11.8,-4.8,89.0
2023-01-08,武汉,,88.7,100.5,53.9,22.5,-4.8,107.0
2023-01-08,西安,64.5,107.5,35.4,42.2,14.7,-4.8,92.0
2023-01-08,南京,50.2,87.6,64.8,34.5,6.5,-4.8,86.0
2023-01-08,重庆,72.2,124.8,76.1,28.7,3.9,-4.8,117.0
2023-01-09,北京,81.8,133.3,56.3,33.1,8.7,-4.8,121.0
2023-01-09,上海,33.9,63.9,98.6,8.5,5.5,-4.8,80.0
2023-01-09,广州,38.2,57.0,79.3,4.7,9.8,-4.8,78.0
2023-01-09,深圳,31.7,57.1,64.3,22.7,8.1,-4.8,64.0
2023-01-09,杭州,76.1,118.6,73.3,42.9,14.1,-4.8,121.0
2023-01-09,成都,97.6,161.7,66.4,21.0,10.8,-4.8,144.0
2023-01-09,武汉,83.8,135.7,99.6,34.8,12.0,-4.8,140.0
2023-01-09,西安,49.3,79.3,49.1,37.5,10.2,-4.8,79.0
2023-01-09,南京,69.7,111.0,83.9,22.6,13.8,-4.8,117.0
2023-01-09,重庆,67.9,110.6,87.5,14.8,15.9,-4.8,116.0
2023-01-10,北京,79.1,131.3,46.1,34.9,11.6,-4.7,113.0
2023-01-10,上海,60.5,108.3,64.1,25.7,16.5,-4.7,98.0
2023-01-10,广州,34.6,72.2,86.0,44.6,14.8,-4.7,76.0
2023-01-10,深圳,39.9,71.8,89.9,42.6,14.8,-4.7,84.0
2023-01-10,杭州,66.2,102.9,130.8,25.8,8.4,-4.7,132.0
2023-01-10,成都,47.1,83.4,93.7,47.8,10.4,-4.7,94.0
2023-01-10,武汉,69.8,111.6,26.5,40.3,13.2,-4.7,94.0
2023-01-10,西安,52.5,78.9,48.6,47.0,7.9,-4.7,82.0
2023-01-10,南京,38.9,79.6,76.2,22.5,10.4,-4.7,77.0
2023-01-10,重庆,61.6,103.6,72.5,56.3,19.0,-4.7,103.0
2023-01-11,北京,88.9,144.5,74.6,52.9,9.9,-4.6,137.0
2023-01-11,上海,17.5,38.9,89.9,32.8,13.3,-4.6,57.0
2023-01-11,广州,85.9,137.1,66.0,71.5,13.9,-4.6,129.0
2023-01-11,深圳,38.1,70.0,62.9,49.7,13.1,-4.6,71.0
2023-01-11,杭州,70.7,113.2,37.2,52.2,15.7,-4.6,100.0
2023-01-11,成都,66.3,102.3,40.3,56.3,13.1,-4.6,96.0
2023-01-11,武汉,67.6,112.4,80.5,53.6,17.0,-4.6,113.0
2023-01-11,西安,55.0,99.5,60.7,39.4,5.1,-4.6,90.0
2023-01-11,南京,54.7,94.6,36.0,39.5,2.1,-4.6,80.0
2023-01-11,重庆,60.6,105.9,39.2,40.0,11.6,-4.6,88.0
2023-01-12,北京,76.1,122.3,73.3,27.4,14.7,-4.6,121.0
2023-01-12,上海,82.1,134.4,13.8,35.3,11.1,-4.6,104.0
2023-01-12,广州,131.3,214.0,67.4,43.3,19.0,-4.6,185.0
2023-01-12,深圳,71.0,112.0,72.3,18.6,13.6,-4.6,114.0
2023-01-12,杭州,41.2,73.7,66.8,31.2,14.5,-4.6,76.0
2023-01-12,成都,64.7,104.8,70.9,40.0,15.3,-4.6,106.0
2023-01-12,武汉,53.2,92.1,63.8,43.5,11.2,-4.6,89.0
2023-01-12,西安,16.0,33.9,77.9,29.3,6.8,-4.6,50.0
2023-01-12,南京,84.8,135.1,65.5,38.8,11.9,-4.6,128.0
2023-01-12,重庆,44.4,73.8,91.6,33.4,19.5,-4.6,90.0
2023-01-13,北京,13.9,22.7,134.5,41.2,18.3,-4.5,70.0
2023-01-13,上海,60.4,99.3,106.2,50.0,14.5,-4.5,115.0
2023-01-13,广州,36.5,64.9,86.1,22.8,9.7,-4.5,78.0
2023-01-13,深圳,43.6,86.2,75.3,9.1,7.7,-4.5,82.0
2023-01-13,杭州,76.5,132.6,85.4,31.9,12.6,-4.5,126.0
2023-01-13,成都,77.8,129.0,78.5,47.4,7.4,-4.5,125.0
2023-01-13,武汉,68.7,111.2,88.0,49.9,16.1,-4.5,118.0
2023-01-13,西安,47.7,86.9,71.6,35.4,14.7,-4.5,86.0
2023-01-13,南京,16.2,35.6,83.1,55.0,8.1,-4.5,53.0
2023-01-13,重庆,62.9,106.0,105.7,30.6,17.2,-4.5,118.0
2023-01-14,北京,74.0,121.2,53.8,28.8,7.8,-4.4,110.0
2023-01-14,上海,111.9,182.7,59.8,28.9,11.7,-4.4,158.0
2023-01-14,广州,43.3,72.2,33.0,46.1,1.5,-4.4,65.0
2023-01-14,深圳,49.3,86.1,31.9,27.0,14.6,-4.4,72.0
2023-01-14,杭州,59.2,105.0,81.7,37.9,20.8,-4.4,104.0
2023-01-14,成都,92.1,145.6,67.6,23.1,13.7,-4.4,138.0
2023-01-14,武汉,79.0,127.5,73.6,47.6,4.5,-4.4,124.0
2023-01-14,西安,12.3,30.1,64.6,48.5,8.2,-4.4,41.0
2023-01-14,南京,58.9,99.0,77.2,17.1,20.4,-4.4,102.0
2023-01-14,重庆,50.6,86.4,18.1,26.0,5.2,-4.4,68.0
2023-01-15,北京,39.6,79.1,80.1,52.0,5.4,-4.3,80.0
2023-01-15,上海,70.6,129.8,60.9,18.7,13.2,-4.3,109.0
2023-01-15,广州,75.4,126.0,44.6,28.7,7.9,-4.3,108.0
2023-01-15,深圳,50.6,92.7,81.3,33.8,11.8,-4.3,93.0
2023-01-15,杭州,58.3,99.0,84.2,34.7,14.6,-4.3,104.0
2023-01-15,成都,63.2,105.2,90.6,37.9,7.5,-4.3,112.0
2023-01-15,武汉,37.4,75.6,70.8,47.3,3.6,-4.3,73.0
2023-01-15,西安,47.5,84.2,81.3,26.4,8.0,-4.3,90.0
2023-01-15,南京,48.8,87.0,68.7,43.8,7.0,-4.3,86.0
2023-01-15,重庆,82.8,129.6,39.1,36.2,14.2,-4.3,115.0
2023-01-16,北京,79.4,138.4,81.9,23.7,6.9,-4.2,128.0
2023-01-16,上海,109.0,169.7,88.6,40.1,16.3,-4.2,166.0
2023-01-16,广州,65.9,108.9,53.3,17.9,9.9,-4.2,100.0
2023-01-16,深圳,84.3,140.1,112.9,23.0,12.6,-4.2,146.0
2023-01-16,杭州,97.1,157.7,72.1,58.4,18.4,-4.2,145.0
2023-01-16,成都,56.1,92.6,92.4,34.9,13.5,-4.2,104.0
2023-01-16,武汉,37.3,73.2,87.9,55.6,23.4,-4.2,80.0
2023-01-16,西安,67.1,113.8,48.8,27.0,11.8,-4.2,100.0
2023-01-16,南京,48.5,93.6,57.5,34.2,16.2,-4.2,81.0
2023-01-16,重庆,59.6,93.2,76.3,50.2,10.7,-4.2,102.0
2023-01-17,北京,66.0,115.5,35.8,30.8,11.0,-4.1,94.0
2023-01-17,上海,40.0,73.7,40.5,27.8,18.9,-4.1,64.0
2023-01-17,广州,101.4,161.4,84.8,25.7,13.4,-4.1,156.0
2023-01-17,深圳,38.1,63.4,52.4,20.9,14.4,-4.1,67.0
2023-01-17,杭州,56.9,86.2,69.9,60.5,6.8,-4.1,96.0
2023-01-17,成都,89.7,146.8,73.7,31.3,1.2,-4.1,137.0
2023-01-17,武汉,,103.0,45.4,58.5,13.1,-4.1,93.0
2023-01-17,西安,58.7,102.5,51.7,52.2,6.7,-4.1,91.0
2023-01-17,南京,41.8,69.2,86.1,39.8,10.3,-4.1,85.0
2023-01-17,重庆,56.9,94.5,46.2,50.1,19.8,-4.1,87.0
2023-01-18,北京,55.2,99.1,86.7,33.7,14.7,-4.0,101.0
2023-01-18,上海,69.9,114.1,79.9,21.5,11.0,-4.0,116.0
2023-01-18,广州,71.2,125.0,81.1,35.2,3.4,-4.0,118.0
2023-01-18,深圳,63.4,94.3,60.6,20.7,18.6,-4.0,100.0
2023-01-18,杭州,38.3,65.8,79.7,44.8,12.3,-4.0,78.0
2023-01-18,成都,59.2,89.5,87.1,42.3,16.6,-4.0,106.0
2023-01-18,武汉,50.3,81.8,64.9,50.6,9.6,-4.0,86.0
2023-01-18,西安,44.4,85.1,64.7,36.0,17.8,-4.0,79.0
2023-01-18,南京,80.5,126.6,75.8,32.1,22.1,-4.0,127.0
2023-01-18,重庆,77.2,120.5,,27.8,8.1,-4.0,122.0
2023-01-19,北京,74.7,135.0,57.1,24.8,16.5,-3.9,112.0
2023-01-19,上海,68.6,109.1,13.3,37.5,12.7,-3.9,88.0
2023-01-19,广州,48.9,86.9,62.8,33.3,12.8,-3.9,84.0
2023-01-19,深圳,51.0,86.1,45.3,48.9,8.7,-3.9,79.0
2023-01-19,杭州,52.1,88.5,45.8,34.5,13.3,-3.9,81.0
2023-01-19,成都,44.3,83.9,76.0,35.5,5.3,-3.9,84.0
2023-01-19,武汉,121.2,197.5,48.5,31.7,11.6,-3.9,165.0
2023-01-19,西安,,124.5,,32.9,13.8,-3.9,128.0
2023-01-19,南京,73.7,119.8,,47.9,8.1,-3.9,116.0
2023-01-19,重庆,77.5,124.2,61.7,56.8,12.4,-3.9,118.0
2023-01-20,北京,38.1,56.9,82.5,28.4,15.7,-3.8,79.0
2023-01-20,上海,60.3,100.1,78.9,13.6,12.1,-3.8,104.0
2023-01-20,广州,73.3,128.2,49.9,37.6,12.4,-3.8,108.0
2023-01-20,深圳,14.1,27.0,34.9,42.2,3.9,-3.8,31.0
2023-01-20,杭州,119.3,196.4,57.8,12.8,14.0,-3.8,166.0
2023-01-20,成都,67.6,119.3,25.5,53.5,4.0,-3.8,91.0
2023-01-20,武汉,43.3,67.4,91.5,46.1,9.1,-3.8,89.0
2023-01-20,西安,60.8,103.6,77.5,38.3,16.5,-3.8,104.0
2023-01-20,南京,55.7,97.8,76.1,36.4,7.5,-3.8,97.0
2023-01-20,重庆,17.8,42.2,65.6,34.4,12.2,-3.8,48.0
2023-01-21,北京,75.5,124.6,88.4,40.2,5.6,-3.7,126.0
2023-01-21,上海,81.1,134.7,86.4,40.2,18.5,-3.7,132.0
2023-01-21,广州,35.0,67.8,65.5,39.2,16.8,-3.7,68.0
2023-01-21,深圳,45.5,75.6,107.7,25.8,8.9,-3.7,98.0
2023-01-21,杭州,60.7,100.4,39.4,36.3,12.9,-3.7,89.0
2023-01-21,成都,84.0,127.3,61.2,30.4,14.0,-3.7,125.0
2023-01-21,武汉,36.3,61.1,,45.1,10.3,-3.7,63.0
2023-01-21,西安,41.6,73.2,36.8,36.5,7.1,-3.7,65.0
2023-01-21,南京,51.3,85.2,47.6,49.1,1.8,-3.7,81.0
2023-01-21,重庆,68.1,115.3,49.2,23.7,14.4,-3.7,101.0
2023-01-22,北京,61.1,110.5,107.0,33.4,13.1,-3.6,116.0
2023-01-22,上海,42.2,68.0,92.5,36.5,22.9,-3.6,88.0
2023-01-22,广州,82.0,127.2,74.6,40.9,12.3,-3.6,128.0
2023-01-22,深圳,105.4,170.1,58.8,20.3,8.4,-3.6,150.0
2023-01-22,杭州,88.2,144.7,61.8,28.9,4.8,-3.6,131.0
2023-01-22,成都,46.4,90.7,50.8,29.0,10.9,-3.6,76.0
2023-01-22,武汉,38.2,71.9,60.8,37.3,11.2,-3.6,70.0
2023-01-22,西安,48.4,83.1,73.0,20.1,16.3,-3.6,87.0
2023-01-22,南京,58.9,94.5,,36.9,24.1,-3.6,94.0
2023-01-22,重庆,56.1,103.0,87.4,41.9,13.2,-3.6,102.0
2023-01-23,北京,4.7,23.5,63.5,34.0,14.4,-3.5,31.0
2023-01-23,上海,78.5,130.3,59.2,23.3,12.2,-3.5,118.0
2023-01-23,广州,81.8,133.8,57.1,31.1,9.8,-3.5,121.0
2023-01-23,深圳,60.7,108.9,78.3,41.9,13.7,-3.5,104.0
2023-01-23,杭州,58.1,93.8,,40.9,16.8,-3.5,95.0
2023-01-23,成都,51.8,83.4,79.2,25.2,9.7,-3.5,94.0
2023-01-23,武汉,32.0,52.7,49.6,17.6,13.4,-3.5,58.0
2023-01-23,西安,73.0,118.8,43.9,70.8,2.1,-3.5,105.0
2023-01-23,南京,64.7,100.0,40.2,39.3,11.2,-3.5,94.0
2023-01-23,重庆,92.6,145.0,61.0,-0.1,16.4,-3.5,136.0
2023-01-24,北京,73.2,108.9,,41.0,14.2,-3.3,121.0
2023-01-24,上海,61.9,107.2,78.8,44.9,1.2,-3.3,106.0
2023-01-24,广州,71.2,119.5,45.6,42.4,3.4,-3.3,104.0
2023-01-24,深圳,58.4,96.5,90.5,31.0,6.7,-3.3,106.0
2023-01-24,杭州,67.7,110.1,44.5,45.6,6.9,-3.3,99.0
2023-01-24,成都,82.2,129.0,49.7,52.3,8.1,-3.3,119.0
2023-01-24,武汉,95.0,151.5,56.8,17.7,1.4,-3.3,137.0
2023-01-24,西安,50.7,87.4,54.4,45.7,16.8,-3.3,83.0
2023-01-24,南京,51.8,89.8,80.0,29.3,18.0,-3.3,94.0
2023-01-24,重庆,45.8,77.1,50.5,16.7,17.0,-3.3,75.0
2023-01-25,北京,55.2,97.1,51.0,41.8,12.4,-3.2,87.0
2023-01-25,上海,71.0,120.6,65.8,33.7,16.2,-3.2,112.0
2023-01-25,广州,70.1,119.2,87.3,29.7,16.7,-3.2,119.0
2023-01-25,深圳,77.1,131.0,17.6,52.2,23.5,-3.2,100.0
2023-01-25,杭州,70.5,113.4,65.3,43.5,12.1,-3.2,111.0
2023-01-25,成都,28.6,47.6,83.8,25.4,7.0,-3.2,68.0
2023-01-25,武汉,53.2,86.7,71.8,28.8,15.7,-3.2,93.0
2023-01-25,西安,49.6,82.6,55.5,31.2,23.1,-3.2,82.0
2023-01-25,南京,91.2,149.1,52.9,40.9,19.2,-3.2,131.0
2023-01-25,重庆,8.0,13.0,79.9,26.2,16.5,-3.2,42.0
2023-01-26,北京,44.1,73.8,28.3,44.4,12.6,-3.0,64.0
2023-01-26,上海,74.6,119.6,63.3,42.2,17.2,-3.0,115.0
2023-01-26,广州,92.0,144.1,75.9,61.8,14.8,-3.0,141.0
2023-01-26,深圳,109.3,167.2,36.8,26.4,16.8,-3.0,146.0
2023-01-26,杭州,72.1,117.6,82.6,52.3,15.0,-3.0,120.0
2023-01-26,成都,60.8,95.5,85.8,35.0,14.1,-3.0,107.0
2023-01-26,武汉,82.4,136.5,68.0,24.4,15.1,-3.0,126.0
2023-01-26,西安,62.5,104.4,101.9,29.1,14.5,-3.0,116.0
2023-01-26,南京,62.5,97.1,77.3,35.0,14.6,-3.0,106.0
2023-01-26,重庆,,42.9,54.6,38.5,18.6,-3.0,50.0
2023-01-27,北京,76.6,127.7,60.2,44.2,15.3,-2.9,116.0
2023-01-27,上海,91.2,149.3,103.2,35.5,13.0,-2.9,151.0
2023-01-27,广州,55.5,94.8,122.9,49.8,11.3,-2.9,116.0
2023-01-27,深圳,85.8,137.1,69.8,9.4,4.6,-2.9,131.0
2023-01-27,杭州,41.8,78.7,61.1,51.1,15.2,-2.9,75.0
2023-01-27,成都,28.1,51.1,38.2,42.2,13.6,-2.9,49.0
2023-01-27,武汉,,86.3,77.6,32.8,8.3,-2.9,97.0
2023-01-27,西安,114.8,177.9,62.5,30.8,20.4,-2.9,163.0
2023-01-27,南京,42.9,73.7,60.6,32.0,12.6,-2.9,76.0
2023-01-27,重庆,63.4,106.3,87.3,22.8,13.6,-2.9,111.0
2023-01-28,北京,51.3,97.2,70.2,26.3,13.2,-2.7,90.0
2023-01-28,上海,58.6,101.7,95.7,34.7,-0.0,-2.7,109.0
2023-01-28,广州,65.0,111.0,20.2,30.4,14.9,-2.7,86.0
2023-01-28,深圳,61.0,100.1,,30.8,11.7,-2.7,108.0
2023-01-28,杭州,57.0,99.4,91.8,26.1,7.9,-2.7,105.0
2023-01-28,成都,70.2,116.7,37.2,14.4,10.8,-2.7,99.0
2023-01-28,武汉,74.5,125.6,58.8,45.0,14.7,-2.7,113.0
2023-01-28,西安,45.2,74.2,73.5,50.3,2.6,-2.7,84.0
2023-01-28,南京,79.8,125.3,91.4,24.8,12.2,-2.7,132.0
2023-01-28,重庆,59.2,105.2,39.5,27.4,9.3,-2.7,87.0
2023-01-29,北京,38.2,59.1,90.7,43.6,15.3,-2.6,82.0
2023-01-29,上海,,47.4,56.1,37.1,16.7,-2.6,49.0
2023-01-29,广州,57.3,92.6,69.8,24.8,7.7,-2.6,97.0
2023-01-29,深圳,92.1,143.6,43.7,52.1,10.2,-2.6,128.0
2023-01-29,杭州,56.7,85.2,66.2,18.6,12.6,-2.6,95.0
2023-01-29,成都,94.7,152.0,98.5,34.5,7.0,-2.6,153.0
2023-01-29,武汉,58.0,93.5,95.5,56.1,7.9,-2.6,108.0
2023-01-29,西安,64.1,104.2,65.9,36.7,11.2,-2.6,103.0
2023-01-29,南京,116.5,187.8,64.6,45.5,14.0,-2.6,166.0
2023-01-29,重庆,91.8,149.7,61.7,43.8,10.9,-2.6,135.0
2023-01-30,北京,35.3,66.6,47.8,43.8,20.4,-2.4,61.0
2023-01-30,上海,53.7,86.6,57.8,45.8,11.9,-2.4,88.0
2023-01-30,广州,76.6,127.4,68.3,50.2,12.2,-2.4,119.0
2023-01-30,深圳,63.3,107.4,89.4,29.6,5.3,-2.4,112.0
2023-01-30,杭州,88.3,136.5,78.1,56.6,5.2,-2.4,137.0
2023-01-30,成都,30.2,61.6,64.6,41.5,9.0,-2.4,62.0
2023-01-30,武汉,56.4,98.5,34.8,28.1,12.5,-2.4,82.0
2023-01-30,西安,82.5,137.5,59.7,35.6,11.9,-2.4,123.0
2023-01-30,南京,44.0,71.6,73.5,35.7,15.9,-2.4,82.0
2023-01-30,重庆,43.4,72.2,54.5,33.6,12.2,-2.4,74.0
2023-01-31,北京,27.3,52.1,68.9,23.4,8.2,-2.2,60.0
2023-01-31,上海,48.8,85.5,34.5,43.9,11.6,-2.2,72.0
2023-01-31,广州,77.7,132.9,91.2,44.1,1.3,-2.2,130.0
2023-01-31,深圳,34.0,67.0,50.3,41.5,9.4,-2.2,61.0
2023-01-31,杭州,48.9,81.1,24.6,22.5,20.5,-2.2,69.0
2023-01-31,成都,68.2,113.2,53.1,41.7,5.7,-2.2,103.0
2023-01-31,武汉,65.2,113.0,22.6,26.7,11.4,-2.2,87.0
2023-01-31,西安,23.5,43.3,91.8,31.1,16.8,-2.2,65.0
2023-01-31,南京,31.6,57.2,52.2,54.3,16.7,-2.2,59.0
2023-01-31,重庆,48.0,81.9,73.7,37.8,12.8,-2.2,87.0
2023-02-01,北京,75.4,111.8,20.9,24.5,9.3,-2.0,99.0
2023-02-01,上海,49.2,81.3,64.7,44.5,-3.3,-2.0,85.0
2023-02-01,广州,89.6,144.4,79.7,52.2,6.2,-2.0,139.0
2023-02-01,深圳,,150.9,44.3,40.3,-0.0,-2.0,133.0
2023-02-01,杭州,78.9,126.4,86.0,36.4,20.4,-2.0,129.0
2023-02-01,成都,81.4,131.9,68.2,29.2,12.8,-2.0,125.0
2023-02-01,武汉,67.5,120.0,88.9,26.0,9.8,-2.0,117.0
2023-02-01,西安,57.7,103.8,56.7,38.9,13.1,-2.0,92.0
2023-02-01,南京,65.4,111.8,68.5,29.8,7.6,-2.0,106.0
2023-02-01,重庆,49.3,79.8,87.3,18.8,12.7,-2.0,94.0
2023-02-02,北京,26.5,43.4,87.4,54.3,6.3,-1.9,67.0
2023-02-02,上海,71.1,120.3,66.3,38.1,14.8,-1.9,112.0
2023-02-02,广州,79.4,124.3,56.7,39.2,8.5,-1.9,118.0
2023-02-02,深圳,74.1,118.3,85.0,45.5,4.8,-1.9,123.0
2023-02-02,杭州,64.7,105.5,71.7,18.9,21.8,-1.9,106.0
2023-02-02,成都,74.0,118.9,83.4,48.5,10.0,-1.9,122.0
2023-02-02,武汉,91.6,152.4,85.8,31.1,9.6,-1.9,144.0
2023-02-02,西安,58.7,101.8,53.3,29.9,16.9,-1.9,92.0
2023-02-02,南京,62.9,100.3,70.8,47.3,1.9,-1.9,104.0
2023-02-02,重庆,68.5,113.9,101.2,18.5,21.6,-1.9,123.0
2023-02-03,北京,104.4,168.0,55.8,37.8,15.0,-1.7,148.0
2023-02-03,上海,59.0,101.7,30.9,28.1,15.3,-1.7,83.0
2023-02-03,广州,67.2,108.7,62.0,43.2,11.9,-1.7,105.0
2023-02-03,深圳,61.8,96.4,50.2,13.1,19.8,-1.7,94.0
2023-02-03,杭州,80.1,127.0,61.4,42.4,18.3,-1.7,121.0
2023-02-03,成都,73.1,105.3,96.3,26.8,9.2,-1.7,126.0
2023-02-03,武汉,76.1,123.8,81.1,43.7,12.9,-1.7,124.0
2023-02-03,西安,56.3,92.4,90.7,30.1,11.4,-1.7,104.0
2023-02-03,南京,77.5,122.1,60.9,36.3,13.7,-1.7,117.0
2023-02-03,重庆,35.5,73.3,71.2,25.8,9.4,-1.7,71.0
2023-02-04,北京,40.6,66.6,53.3,45.2,11.5,-1.5,70.0
2023-02-04,上海,43.5,69.8,65.0,30.1,19.2,-1.5,78.0
2023-02-04,广州,71.8,123.3,70.1,40.9,8.9,-1.5,114.0
2023-02-04,深圳,89.1,149.6,56.6,21.4,12.6,-1.5,130.0
2023-02-04,杭州,76.4,131.5,67.8,38.7,15.3,-1.5,119.0
2023-02-04,成都,82.7,136.4,73.6,31.0,15.0,-1.5,129.0
2023-02-04,武汉,36.2,64.0,59.6,40.3,12.3,-1.5,67.0
2023-02-04,西安,110.1,174.1,73.7,50.3,1.3,-1.5,162.0
2023-02-04,南京,89.5,143.2,63.8,42.5,17.9,-1.5,133.0
2023-02-04,重庆,56.8,92.6,68.4,21.8,18.7,-1.5,96.0
2023-02-05,北京,59.6,98.2,77.5,48.7,16.4,-1.3,103.0
2023-02-05,上海,51.6,91.5,40.1,17.2,13.6,-1.3,78.0
2023-02-05,广州,59.0,103.6,60.0,25.6,13.5,-1.3,95.0
2023-02-05,深圳,94.2,158.1,71.0,43.9,9.2,-1.3,141.0
